id,release_date,revenue,runtime,title
1950,2007-05-01,5761917.0,124.0,Lucky You
1954,2004-01-22,9.6060858E7,113.0,The Butterfly Effect
1955,1980-10-02,2.6010864E7,124.0,The Elephant Man
1956,2002-01-12,0.0,103.0,Gerry
1964,2006-10-05,0.0,84.0,A Friend of Mine
1968,1997-02-14,2.9481428E7,109.0,Fools Rush In
1994,1932-09-16,0.0,63.0,The Most Dangerous Game
1997,2004-04-07,6.217205E7,109.0,Two Brothers
2000,1972-12-29,0.0,93.0,Aguirre: The Wrath of God
2003,2004-01-28,0.0,88.0,Anatomy of Hell
2005,1992-05-28,2.3160515E8,100.0,Sister Act
2006,1958-12-25,0.0,106.0,Bell_ Book and Candle
2010,2007-05-24,0.0,97.0,The Mourning Forest
2011,2007-05-23,0.0,95.0,Persepolis
2012,2007-10-02,0.0,142.0,Silent Light
2018,2001-01-26,9.4728529E7,103.0,The Wedding Planner
2019,1993-08-20,7.4189677E7,97.0,Hard Target
2020,1999-11-05,3.6911617E7,101.0,The Bachelor
2054,1995-12-29,1.06269971E8,137.0,Mr. Holland"s Opus
2058,1997-05-23,3.4673095E7,100.0,Addicted to Love
2064,1995-04-21,1.82057016E8,103.0,While You Were Sleeping
2100,2001-10-19,2.7642707E7,131.0,The Last Castle
2115,1987-02-06,0.0,107.0,Light of Day
2124,1994-08-19,1.972605E7,121.0,Color of Night
2133,2000-03-15,3.25756637E8,130.0,The Perfect Storm
2134,1960-08-17,0.0,103.0,The Time Machine
2140,2001-07-06,6.4437847E7,98.0,Kiss of the Dragon
2160,1961-07-12,7000000.0,105.0,Voyage to the Bottom of the Sea
2161,1966-08-24,1.2E7,100.0,Fantastic Voyage
2186,1978-11-23,0.0,32.0,Within the Woods
2232,1973-03-14,0.0,105.0,The Legend of Paul and Paula
2268,2007-12-04,3.72234864E8,113.0,The Golden Compass
2269,2006-01-01,3.8862717E7,132.0,Day Watch
2282,1983-11-16,0.0,102.0,? nos amours
2288,2004-12-01,1.15505027E8,104.0,Closer
2289,2003-12-24,1.73013509E8,154.0,Cold Mountain
2291,1990-11-02,2.5965144E7,113.0,Jacob"s Ladder
2302,1990-10-05,0.0,126.0,Avalon
2313,2005-09-21,0.0,102.0,Prime
2321,1988-08-19,2.1486757E7,104.0,Married to the Mob
2324,2006-09-19,32788.0,107.0,Local Color
2333,2008-12-25,0.0,151.0,Buddenbrooks
2334,2003-01-29,6.5497208E7,82.0,Taxi 3
2357,2006-09-11,580527.0,81.0,10 Items or Less
2360,2000-01-24,2.6330482E7,93.0,Saving Grace
